EVENT,PREVIOUS,VISITORS
00. Account Creation,,1958
01. Crypto Buy: simulation,00. Account Creation,142
01. Crypto Sell: simulation,00. Account Creation,3
01. Crypto Send: failed,00. Account Creation,2
01. Savings Placement: simulation,00. Account Creation,438
01. Savings Withdrawal: simulation,00. Account Creation,21
02. Crypto Buy: failed,01. Crypto Buy: simulation,20
02. Crypto Buy: simulation,01. Savings Placement: simulation,4
02. Crypto Buy: success,01. Crypto Buy: simulation,97
02. Crypto Sell: simulation,01. Crypto Buy: simulation,1
02. Crypto Send: success,01. Crypto Buy: simulation,1
02. Crypto Send: success,01. Crypto Sell: simulation,3
02. Savings Placement: failed,01. Savings Placement: simulation,49
02. Savings Placement: initiated,01. Savings Placement: simulation,10
02. Savings Placement: success,01. Savings Placement: simulation,299
02. Savings Withdrawal: simulation,01. Savings Placement: simulation,2
02. Savings Withdrawal: success,01. Savings Withdrawal: simulation,17
03. Crypto Buy: failed,02. Crypto Buy: success,3
03. Crypto Buy: simulation,02. Crypto Buy: failed,15
03. Crypto Buy: simulation,02. Crypto Buy: success,52
03. Crypto Buy: simulation,02. Crypto Send: success,1
03. Crypto Buy: simulation,02. Savings Placement: failed,2
03. Crypto Buy: simulation,02. Savings Placement: success,21
03. Crypto Buy: success,02. Crypto Buy: simulation,4
03. Crypto Sell: simulation,02. Crypto Buy: success,4
03. Crypto Sell: success,02. Crypto Sell: simulation,1
03. Crypto Sell: success,02. Crypto Send: success,3
03. Crypto Send: failed,02. Crypto Buy: success,5
03. Crypto Send: success,02. Crypto Buy: success,14
03. Savings Placement: cancelled,02. Savings Placement: initiated,4
03. Savings Placement: failed,02. Savings Placement: success,8
03. Savings Placement: simulation,02. Crypto Buy: failed,1
03. Savings Placement: simulation,02. Crypto Buy: success,5
03. Savings Placement: simulation,02. Savings Placement: failed,25
03. Savings Placement: simulation,02. Savings Placement: initiated,3
03. Savings Placement: simulation,02. Savings Placement: success,107
03. Savings Placement: simulation,02. Savings Withdrawal: success,1
03. Savings Placement: success,02. Savings Placement: failed,3
03. Savings Withdrawal: simulation,02. Savings Placement: success,60
03. Savings Withdrawal: simulation,02. Savings Withdrawal: success,7
03. Savings Withdrawal: success,02. Savings Withdrawal: simulation,2
04. Crypto Buy: failed,03. Crypto Buy: simulation,29
04. Crypto Buy: simulation,03. Crypto Buy: failed,3
04. Crypto Buy: simulation,03. Crypto Sell: success,1
04. Crypto Buy: simulation,03. Crypto Send: success,7
04. Crypto Buy: simulation,03. Savings Withdrawal: simulation,1
04. Crypto Buy: success,03. Crypto Buy: simulation,51
04. Crypto Sell: simulation,03. Crypto Buy: simulation,1
04. Crypto Sell: simulation,03. Crypto Sell: success,3
04. Crypto Sell: simulation,03. Crypto Send: failed,1
04. Crypto Sell: simulation,03. Crypto Send: success,2
04. Crypto Send: failed,03. Crypto Sell: simulation,1
04. Crypto Send: failed,03. Crypto Send: success,2
04. Crypto Send: success,03. Crypto Buy: simulation,2
04. Crypto Send: success,03. Crypto Sell: simulation,3
04. Crypto Send: success,03. Crypto Send: failed,4
04. Savings Placement: failed,03. Savings Placement: simulation,28
04. Savings Placement: initiated,03. Savings Placement: simulation,1
04. Savings Placement: simulation,03. Crypto Buy: simulation,3
04. Savings Placement: simulation,03. Crypto Buy: success,3
04. Savings Placement: simulation,03. Savings Placement: cancelled,1
04. Savings Placement: simulation,03. Savings Placement: failed,6
04. Savings Placement: simulation,03. Savings Withdrawal: simulation,2
04. Savings Placement: success,03. Savings Placement: simulation,107
04. Savings Withdrawal: simulation,03. Crypto Buy: simulation,2
04. Savings Withdrawal: simulation,03. Savings Placement: failed,1
04. Savings Withdrawal: simulation,03. Savings Placement: success,2
04. Savings Withdrawal: simulation,03. Savings Withdrawal: success,2
04. Savings Withdrawal: success,03. Savings Withdrawal: simulation,58
05. Crypto Buy: failed,04. Crypto Buy: simulation,2
05. Crypto Buy: failed,04. Crypto Buy: success,5
05. Crypto Buy: simulation,04. Crypto Buy: failed,24
05. Crypto Buy: simulation,04. Crypto Buy: success,30
05. Crypto Buy: simulation,04. Crypto Send: success,2
05. Crypto Buy: simulation,04. Savings Placement: failed,1
05. Crypto Buy: simulation,04. Savings Placement: simulation,1
05. Crypto Buy: simulation,04. Savings Placement: success,8
05. Crypto Buy: simulation,04. Savings Withdrawal: success,1
05. Crypto Buy: success,04. Crypto Buy: simulation,8
05. Crypto Sell: failed,04. Crypto Send: failed,1
05. Crypto Sell: simulation,04. Crypto Buy: failed,1
05. Crypto Sell: simulation,04. Crypto Buy: success,4
05. Crypto Sell: simulation,04. Crypto Send: success,1
05. Crypto Sell: simulation,04. Savings Withdrawal: success,1
05. Crypto Sell: success,04. Crypto Send: success,2
05. Crypto Send: failed,04. Crypto Buy: success,1
05. Crypto Send: failed,04. Crypto Sell: simulation,1
05. Crypto Send: failed,04. Crypto Send: success,2
05. Crypto Send: success,04. Crypto Buy: success,2
05. Crypto Send: success,04. Crypto Sell: simulation,5
05. Crypto Send: success,04. Crypto Send: failed,2
05. Savings Placement: failed,04. Savings Placement: simulation,4
05. Savings Placement: failed,04. Savings Placement: success,2
05. Savings Placement: initiated,04. Savings Placement: simulation,1
05. Savings Placement: simulation,04. Crypto Buy: failed,1
05. Savings Placement: simulation,04. Crypto Buy: success,2
05. Savings Placement: simulation,04. Savings Placement: failed,17
05. Savings Placement: simulation,04. Savings Placement: initiated,1
05. Savings Placement: simulation,04. Savings Placement: success,56
05. Savings Placement: simulation,04. Savings Withdrawal: simulation,1
05. Savings Placement: simulation,04. Savings Withdrawal: success,7
05. Savings Placement: success,04. Savings Placement: failed,1
05. Savings Placement: success,04. Savings Placement: simulation,8
